Sample_Number	Sample_Name	Replicate	Concentration_ng.ul	RIN	28s_18s ratio
1	D4	1	38	6	2
2	D7	1	30	8.5	1.9
3	L4	1	26	5.8	0.9
4	L7	1	26	6.8	1.4
5	DL4	1	3	NA	0
6	DL7	1	32	8.7	2
7	HCL4	1	12	7.9	1.7
8	HCL7	1	30	8.1	2.1
9	MED	1	24	8.5	1.4
10	D4_CT	1	40	4.9	1
11	L4_CT	1	47	4.8	0.9
12	DL4_CT	1	26	6.1	0.7
13	HCL4_CT	1	19	8.7	1.9
14	MED_CT	1	15	2.2	0
15	D4	2	19	5.7	0.9
16	D7	2	24	9.1	1.5
17	L4	2	10	6.4	1
18	L7	2	4	7	1
19	DL4	2	6	NA	0
20	DL7	2	7	7	1.2
21	HCL4	2	5	NA	0.8
22	HCL7	2	23	8	1.7
23	MED	2	21	8.5	1.5
24	D4_CT	2	19	7	2.8
25	L4_CT	2	24	7	1.5
26	DL4_CT	2	26	5.9	0.6
27	HCL4_CT	2	5	NA	0
28	MED_CT	2	6	NA	0
